Date;Produit;Region;Valeur
12/03/2022;BLE DUR;Casablanca-Settat;7
12/03/2022;BLE TENDRE;Casablanca-Settat;4.5
11/03/2022;DATTES BOUSTHAMI;Casablanca-Settat;30
11/03/2022;ORGE IMPORTEE;Casablanca-Settat;4
09/03/2022;MELONS;Casablanca-Settat;19.95
07/02/2022;DATTES BOUFEGOUSS;Casablanca-Settat;80
29/01/2022;GRENADES;Casablanca-Settat;3.8
14/01/2022;OLIVE TOUTES VENANT;Casablanca-Settat;8
14/01/2022;OLIVE VERTE CALIBRE MOYEN;Casablanca-Settat;8
14/01/2022;OLIVE NOIR MOYEN CALIBRE;Casablanca-Settat;7.5
06/01/2022;RAISINS DE TABLE BLANCS;Casablanca-Settat;11.5
22/12/2021;RAISINS DE TABLE NOIRS;Casablanca-Settat;9
02/11/2021;NECTARINES;Casablanca-Settat;15
02/11/2021;PECHES;Casablanca-Settat;13
02/09/2021;ABRICOTS;Casablanca-Settat;13
12/07/2021;PRUNES;Casablanca-Settat;4
08/07/2021;FRAMBOISES;Casablanca-Settat;18
01/07/2021;NEFLES;Casablanca-Settat;17
08/12/2020;PATATE DOUCE;Casablanca-Settat;4
08/12/2020;NAVEL;Casablanca-Settat;5
08/12/2020;TOPINAMBOUR;Casablanca-Settat;3
08/12/2020;COURGES;Casablanca-Settat;5
08/12/2020;FENOUIL;Casablanca-Settat;3.5
08/12/2020;ANANAS;Casablanca-Settat;14
21/11/2020;GOMBOS;Casablanca-Settat;25
27/10/2020;RAISINS DE TABLE MOUSKA;Casablanca-Settat;11
24/10/2020;FIGUES;Casablanca-Settat;28
11/07/2020;CERISES;Casablanca-Settat;45
15/10/2019;ANONES;Casablanca-Settat;2
15/10/2019;POMMES;Casablanca-Settat;2
11/08/2019;RADIS;Casablanca-Settat;16500
11/08/2019;RAISINS DE CUVE;Casablanca-Settat;13000
11/08/2019;RAISINS DE TABLE;Casablanca-Settat;15000
11/08/2019;RIZ;Casablanca-Settat;26500
10/08/2019;EPINARDS;Casablanca-Settat;12
10/08/2019;DEGLET NOUR;Casablanca-Settat;3.05
10/08/2019;SLAOUI;Casablanca-Settat;1700
10/08/2019;SORGHO;Casablanca-Settat;850
10/08/2019;CORNICHONS;Casablanca-Settat;10
10/08/2019;FENUGREC;Casablanca-Settat;4.5
10/08/2019;TOMATE OBLONGUE;Casablanca-Settat;55
10/08/2019;TOMATE RONDE FRAICHE;Casablanca-Settat;8
10/08/2019;SEIGLE;Casablanca-Settat;800
04/06/2019;IRAQUIA;Casablanca-Settat;16
04/06/2019;POMMES DE TERRE;Casablanca-Settat;4
05/03/2022;ARTICHAUTS;Casablanca-Settat;4
05/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.8
05/03/2022;CHOUX FLEURS;Casablanca-Settat;2.66
05/03/2022;POMMES IMPORTES;Casablanca-Settat;21
05/03/2022;POIVRONS VERTS;Casablanca-Settat;7
05/03/2022;MANGUES;Casablanca-Settat;25
05/03/2022;OIGNONS SECS;Casablanca-Settat;5
05/03/2022;CHOUX POMMES;Casablanca-Settat;3
05/03/2022;BLE TENDRE;Casablanca-Settat;4.5
05/03/2022;COURGETTES;Casablanca-Settat;3.5
05/03/2022;HARICOT SECS;Casablanca-Settat;16
05/03/2022;POIS CHICHE;Casablanca-Settat;16
05/03/2022;PIMENTS;Casablanca-Settat;12
05/03/2022;CLEMENTINES;Casablanca-Settat;4
05/03/2022;BETTERAVES ROUGE;Casablanca-Settat;2.38
05/03/2022;NAVETS;Casablanca-Settat;2.5
05/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.5
05/03/2022;BLE DUR;Casablanca-Settat;6.5
05/03/2022;FEVES SECHES;Casablanca-Settat;10
05/03/2022;ORGE LOCALE;Casablanca-Settat;5
05/03/2022;KAKI;Casablanca-Settat;22
05/03/2022;PETITS POIS VERTS;Casablanca-Settat;12
05/03/2022;BANANES IMPORTES;Casablanca-Settat;15
05/03/2022;CONCOMBRES;Casablanca-Settat;4
05/03/2022;PAPAYA;Casablanca-Settat;8
05/03/2022;FRAISES;Casablanca-Settat;15
05/03/2022;MAùS IMPORTê;Casablanca-Settat;4.5
05/03/2022;FEVEROLES;Casablanca-Settat;7.5
05/03/2022;TOMATES;Casablanca-Settat;8
05/03/2022;CAROTTES;Casablanca-Settat;2.5
05/03/2022;KIWI;Casablanca-Settat;25
05/03/2022;FEVES VERTES;Casablanca-Settat;3.8
05/03/2022;ORANGES;Casablanca-Settat;3
05/03/2022;LENTILLES;Casablanca-Settat;15
05/03/2022;BANANES LOCALES;Casablanca-Settat;7.25
05/03/2022;AUBERGINES;Casablanca-Settat;4
05/03/2022;AVOCATS;Casablanca-Settat;17
05/03/2022;POMMES LOCALES;Casablanca-Settat;8.5
05/03/2022;PETITS POIS SECS;Casablanca-Settat;13
05/03/2022;HARICOTS VERTS;Casablanca-Settat;17
05/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.5
05/03/2022;MAùS LOCALE;Casablanca-Settat;6
05/03/2022;CITRONS;Casablanca-Settat;3.5
04/03/2022;DATTES BOUSTHAMI;Casablanca-Settat;30
04/03/2022;ORGE IMPORTEE;Casablanca-Settat;4
03/03/2022;PAPAYA;Casablanca-Settat;8.5
03/03/2022;HARICOTS VERTS;Casablanca-Settat;15
03/03/2022;AVOCATS;Casablanca-Settat;16
03/03/2022;MAùS LOCALE;Casablanca-Settat;4.5
03/03/2022;ORANGES;Casablanca-Settat;2.7
03/03/2022;BANANES LOCALES;Casablanca-Settat;7.5
03/03/2022;MAùS IMPORTê;Casablanca-Settat;3.6
03/03/2022;FEVEROLES;Casablanca-Settat;7.5
03/03/2022;KIWI;Casablanca-Settat;25
03/03/2022;FRAISES;Casablanca-Settat;15
03/03/2022;PETITS POIS VERTS;Casablanca-Settat;13
03/03/2022;LENTILLES;Casablanca-Settat;11
03/03/2022;ORGE LOCALE;Casablanca-Settat;4.5
03/03/2022;BETTERAVES ROUGE;Casablanca-Settat;2.15
03/03/2022;PIMENTS;Casablanca-Settat;14
03/03/2022;MANGUES;Casablanca-Settat;26
03/03/2022;FEVES SECHES;Casablanca-Settat;8.5
03/03/2022;ARTICHAUTS;Casablanca-Settat;4.5
03/03/2022;CHOUX POMMES;Casablanca-Settat;3
03/03/2022;NAVETS;Casablanca-Settat;2.8
03/03/2022;POMMES IMPORTES;Casablanca-Settat;22
03/03/2022;COINGS;Casablanca-Settat;6.5
03/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.5
03/03/2022;HARICOT SECS;Casablanca-Settat;16
03/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.8
03/03/2022;CLEMENTINES;Casablanca-Settat;3
03/03/2022;ORGE IMPORTEE;Casablanca-Settat;3
03/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.7
03/03/2022;POMMES LOCALES;Casablanca-Settat;9
03/03/2022;PETITS POIS SECS;Casablanca-Settat;8.5
03/03/2022;CHOUX FLEURS;Casablanca-Settat;3
03/03/2022;KAKI;Casablanca-Settat;25
03/03/2022;POIVRONS VERTS;Casablanca-Settat;6
03/03/2022;OIGNONS SECS;Casablanca-Settat;5.5
03/03/2022;BANANES IMPORTES;Casablanca-Settat;19
03/03/2022;CONCOMBRES;Casablanca-Settat;3.5
03/03/2022;BLE TENDRE;Casablanca-Settat;3.8
03/03/2022;COURGETTES;Casablanca-Settat;3
03/03/2022;BLE DUR;Casablanca-Settat;4.75
03/03/2022;POIS CHICHE;Casablanca-Settat;12.5
03/03/2022;CITRONS;Casablanca-Settat;3.3
03/03/2022;AUBERGINES;Casablanca-Settat;4.5
03/03/2022;FEVES VERTES;Casablanca-Settat;3.5
03/03/2022;TOMATES;Casablanca-Settat;6.17
03/03/2022;CAROTTES;Casablanca-Settat;2.8
02/03/2022;COINGS;Casablanca-Settat;6
02/03/2022;MAùS IMPORTê;Casablanca-Settat;4.3
02/03/2022;MANGUES;Casablanca-Settat;24
02/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.5
02/03/2022;CITRONS;Casablanca-Settat;3
02/03/2022;PIMENTS;Casablanca-Settat;13
02/03/2022;BETTERAVES ROUGE;Casablanca-Settat;1.9
02/03/2022;POIVRONS VERTS;Casablanca-Settat;5.5
02/03/2022;FEVES SECHES;Casablanca-Settat;7.5
02/03/2022;BLE DUR;Casablanca-Settat;6.66
02/03/2022;NAVETS;Casablanca-Settat;2.5
02/03/2022;KAKI;Casablanca-Settat;23
02/03/2022;POIS CHICHE;Casablanca-Settat;14
02/03/2022;ORGE LOCALE;Casablanca-Settat;4.64
02/03/2022;ARTICHAUTS;Casablanca-Settat;4
02/03/2022;FRAISES;Casablanca-Settat;15
02/03/2022;ORANGES;Casablanca-Settat;2.5
02/03/2022;CHOUX FLEURS;Casablanca-Settat;2.66
02/03/2022;OIGNONS SECS;Casablanca-Settat;5.5
02/03/2022;CHOUX POMMES;Casablanca-Settat;3.3
02/03/2022;PAPAYA;Casablanca-Settat;7
02/03/2022;HARICOTS VERTS;Casablanca-Settat;15
02/03/2022;TOMATES;Casablanca-Settat;6.33
02/03/2022;KIWI;Casablanca-Settat;25
02/03/2022;FEVES VERTES;Casablanca-Settat;3
02/03/2022;FEVEROLES;Casablanca-Settat;7
02/03/2022;BANANES LOCALES;Casablanca-Settat;7.25
02/03/2022;LENTILLES;Casablanca-Settat;15
02/03/2022;AUBERGINES;Casablanca-Settat;4
02/03/2022;CAROTTES;Casablanca-Settat;2.5
02/03/2022;BLE TENDRE;Casablanca-Settat;4.58
02/03/2022;HARICOT SECS;Casablanca-Settat;15
02/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.6
02/03/2022;COURGETTES;Casablanca-Settat;3.5
02/03/2022;BANANES IMPORTES;Casablanca-Settat;20
02/03/2022;POMMES IMPORTES;Casablanca-Settat;21
02/03/2022;ORGE IMPORTEE;Casablanca-Settat;4
02/03/2022;CLEMENTINES;Casablanca-Settat;2.8
02/03/2022;PETITS POIS VERTS;Casablanca-Settat;12
02/03/2022;CONCOMBRES;Casablanca-Settat;3.3
02/03/2022;POMMES LOCALES;Casablanca-Settat;8.5
02/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.3
02/03/2022;AVOCATS;Casablanca-Settat;15
01/03/2022;BANANES LOCALES;Casablanca-Settat;7.5
01/03/2022;PETITS POIS VERTS;Casablanca-Settat;13
01/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.7
01/03/2022;BANANES IMPORTES;Casablanca-Settat;20
01/03/2022;ORANGES;Casablanca-Settat;2.8
01/03/2022;CONCOMBRES;Casablanca-Settat;4
01/03/2022;HARICOTS VERTS;Casablanca-Settat;17
01/03/2022;PETITS POIS SECS;Casablanca-Settat;8
01/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.8
01/03/2022;PAPAYA;Casablanca-Settat;7.5
01/03/2022;POMMES LOCALES;Casablanca-Settat;9
01/03/2022;CLEMENTINES;Casablanca-Settat;3.3
01/03/2022;AVOCATS;Casablanca-Settat;16
01/03/2022;LENTILLES;Casablanca-Settat;11.5
01/03/2022;TOMATES;Casablanca-Settat;6
01/03/2022;FEVES VERTES;Casablanca-Settat;3.5
01/03/2022;AUBERGINES;Casablanca-Settat;4.5
01/03/2022;POIS CHICHE;Casablanca-Settat;12.5
01/03/2022;BETTERAVES ROUGE;Casablanca-Settat;2.15
01/03/2022;POIVRONS VERTS;Casablanca-Settat;5.5
01/03/2022;COINGS;Casablanca-Settat;6
01/03/2022;FEVES SECHES;Casablanca-Settat;9
01/03/2022;COURGETTES;Casablanca-Settat;3
01/03/2022;PIMENTS;Casablanca-Settat;15
01/03/2022;CITRONS;Casablanca-Settat;3.5
01/03/2022;POMMES IMPORTES;Casablanca-Settat;22
01/03/2022;ARTICHAUTS;Casablanca-Settat;4.5
01/03/2022;CHOUX FLEURS;Casablanca-Settat;2.33
01/03/2022;FRAISES;Casablanca-Settat;15
01/03/2022;CAROTTES;Casablanca-Settat;3
01/03/2022;MAùS LOCALE;Casablanca-Settat;5
01/03/2022;ORGE LOCALE;Casablanca-Settat;4.5
01/03/2022;NAVETS;Casablanca-Settat;3
01/03/2022;CHOUX POMMES;Casablanca-Settat;3
01/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.5
01/03/2022;KIWI;Casablanca-Settat;25
01/03/2022;BLE DUR;Casablanca-Settat;4.5
01/03/2022;KAKI;Casablanca-Settat;25
01/03/2022;MAùS IMPORTê;Casablanca-Settat;3.8
01/03/2022;BLE TENDRE;Casablanca-Settat;3.7
01/03/2022;ORGE IMPORTEE;Casablanca-Settat;3.5
01/03/2022;OIGNONS SECS;Casablanca-Settat;5
01/03/2022;MANGUES;Casablanca-Settat;24
